Month,Department,Revenue,Expenses,Profit,Budget,Region,Product Category,Units Sold,Customer Count
2024-01,Sales,250000,180000,70000,220000,North America,Software,1250,45
2024-01,Marketing,180000,120000,60000,150000,Europe,Hardware,850,32
2024-01,Operations,320000,280000,40000,300000,Asia,Services,1600,67
2024-02,Sales,275000,190000,85000,230000,North America,Software,1380,52
2024-02,Marketing,195000,125000,70000,160000,Europe,Hardware,920,38
2024-02,Operations,340000,290000,50000,310000,Asia,Services,1720,71
2024-03,Sales,290000,195000,95000,240000,North America,Software,1450,58
2024-03,Marketing,210000,130000,80000,170000,Europe,Hardware,980,42
2024-03,Operations,360000,300000,60000,320000,Asia,Services,1800,75
2024-04,Sales,305000,200000,105000,250000,North America,Software,1520,63
2024-04,Marketing,225000,135000,90000,180000,Europe,Hardware,1050,46
2024-04,Operations,380000,310000,70000,330000,Asia,Services,1900,82
2024-05,Sales,320000,205000,115000,260000,North America,Software,1600,68
2024-05,Marketing,240000,140000,100000,190000,Europe,Hardware,1120,51
2024-05,Operations,400000,320000,80000,340000,Asia,Services,2000,89
2024-06,Sales,335000,210000,125000,270000,North America,Software,1675,74
2024-06,Marketing,255000,145000,110000,200000,Europe,Hardware,1190,55
2024-06,Operations,420000,330000,90000,350000,Asia,Services,2100,95
2024-07,Sales,285000,185000,100000,245000,North America,Software,1425,61
2024-07,Marketing,205000,125000,80000,165000,Europe,Hardware,975,41
2024-07,Operations,365000,295000,70000,315000,Asia,Services,1825,78
2024-08,Sales,310000,200000,110000,255000,North America,Software,1550,66
2024-08,Marketing,230000,135000,95000,175000,Europe,Hardware,1075,48
2024-08,Operations,385000,315000,70000,325000,Asia,Services,1925,84